time,open,high,low,close,tick_volume,spread,real_volume
2023-01-02 00:00:00,1.06925,1.07053,1.06805,1.0689,3198,75,479700000
2023-01-02 01:00:00,1.0689,1.06977,1.0683,1.06977,984,150,147600000
2023-01-02 02:00:00,1.06977,1.07055,1.06909,1.07055,1223,14,183450000
2023-01-02 03:00:00,1.07055,1.0707,1.06894,1.0693,2922,25,438300000
2023-01-02 04:00:00,1.0693,1.06932,1.06841,1.06901,1824,81,273600000
2023-01-02 05:00:00,1.06901,1.07022,1.06877,1.06906,2113,13,316950000
2023-01-02 06:00:00,1.06905,1.07026,1.0689899999999999,1.0698,5406,13,810900000
2023-01-02 07:00:00,1.0698,1.06997,1.0689899999999999,1.06917,12973,5,1945950000
2023-01-02 08:00:00,1.06917,1.06976,1.06738,1.06851,20846,5,3126900000
2023-01-02 09:00:00,1.06851,1.06902,1.06628,1.06778,19880,15,2982000000
2023-01-02 10:00:00,1.06782,1.06943,1.06703,1.06783,26363,15,3954450000
2023-01-02 11:00:00,1.06783,1.06987,1.06761,1.06782,26350,15,3952500000
2023-01-02 12:00:00,1.06782,1.0689,1.0674,1.06827,25336,15,3800400000
2023-01-02 13:00:00,1.06827,1.06857,1.06787,1.0683799999999999,23855,15,3578250000
2023-01-02 14:00:00,1.0683799999999999,1.06864,1.06753,1.06816,24120,15,3618000000
2023-01-02 15:00:00,1.06816,1.06851,1.06759,1.06776,24957,9,3743550000
2023-01-02 16:00:00,1.06776,1.06814,1.06696,1.06719,25195,6,3779250000
2023-01-02 17:00:00,1.0672,1.06732,1.0658,1.06598,27318,6,4097700000
2023-01-02 18:00:00,1.06598,1.06695,1.06507,1.06547,27177,5,4076550000
2023-01-02 19:00:00,1.06547,1.06617,1.06531,1.06597,23891,7,3583650000
2023-01-02 20:00:00,1.06597,1.06606,1.06503,1.06518,23436,5,3515400000
2023-01-02 21:00:00,1.06518,1.0659399999999999,1.06499,1.06551,22970,9,3445500000
2023-01-02 22:00:00,1.06551,1.06662,1.06543,1.06607,12419,16,1862850000
2023-01-02 23:00:00,1.06607,1.0672,1.06562,1.06637,8939,27,1340850000
2023-01-03 00:00:00,1.06637,1.06686,1.06592,1.06647,16501,19,2475150000
2023-01-03 01:00:00,1.06647,1.06826,1.06492,1.06758,28704,19,4305600000
2023-01-03 02:00:00,1.06758,1.06778,1.06661,1.06698,29447,13,4417050000
2023-01-03 03:00:00,1.06698,1.06735,1.06499,1.06592,32853,13,4927950000
2023-01-03 04:00:00,1.06592,1.0677,1.06571,1.06758,31099,13,4664850000
2023-01-03 05:00:00,1.06758,1.06778,1.06682,1.06718,31327,13,4699050000
2023-01-03 06:00:00,1.06718,1.06797,1.06663,1.06665,30719,13,4607850000
2023-01-03 07:00:00,1.06665,1.06701,1.06583,1.06629,32447,5,4867050000
2023-01-03 08:00:00,1.06629,1.0667200000000001,1.06509,1.06516,33079,5,4961850000
2023-01-03 09:00:00,1.0652,1.0658,1.06195,1.06231,34242,5,5136300000
2023-01-03 10:00:00,1.06231,1.06279,1.055,1.05512,35286,5,5292900000
2023-01-03 11:00:00,1.05511,1.05603,1.05334,1.05469,35081,5,5262150000
2023-01-03 12:00:00,1.05469,1.05545,1.05248,1.05304,34407,5,5161050000
2023-01-03 13:00:00,1.05304,1.05356,1.05189,1.05277,34125,5,5118750000
2023-01-03 14:00:00,1.05277,1.05486,1.05234,1.0535,34079,5,5111850000
2023-01-03 15:00:00,1.05349,1.05693,1.05299,1.05597,34632,5,5194800000
2023-01-03 16:00:00,1.05596,1.05968,1.05546,1.05736,34996,5,5249400000
2023-01-03 17:00:00,1.05736,1.05815,1.0554,1.05549,35381,5,5307150000
2023-01-03 18:00:00,1.05548,1.05582,1.05369,1.05574,35240,5,5286000000
2023-01-03 19:00:00,1.05574,1.05589,1.05396,1.05456,34249,5,5137350000
2023-01-03 20:00:00,1.05456,1.05601,1.05426,1.0556,33554,5,5033100000
2023-01-03 21:00:00,1.0556,1.05677,1.05546,1.05657,33688,5,5053200000
2023-01-03 22:00:00,1.05659,1.05682,1.05498,1.05507,33656,13,5048400000
2023-01-03 23:00:00,1.05507,1.0553,1.05454,1.05457,25292,19,3793800000
2023-01-04 00:00:00,1.05449,1.05478,1.05439,1.05468,21936,19,3290400000
2023-01-04 01:00:00,1.05468,1.05536,1.05398,1.05447,26925,19,4038750000
2023-01-04 02:00:00,1.05447,1.05605,1.05445,1.05574,28724,13,4308600000
2023-01-04 03:00:00,1.05574,1.05688,1.05564,1.05662,30653,13,4597950000
2023-01-04 04:00:00,1.05662,1.05688,1.05609,1.05643,31545,13,4731750000
2023-01-04 05:00:00,1.05643,1.05691,1.05642,1.05682,30249,13,4537350000
2023-01-04 06:00:00,1.05682,1.05736,1.05651,1.0572300000000001,30447,13,4567050000
2023-01-04 07:00:00,1.0572300000000001,1.05778,1.0564,1.05685,32029,5,4804350000
2023-01-04 08:00:00,1.05687,1.05744,1.05589,1.05695,32447,5,4867050000
2023-01-04 09:00:00,1.05695,1.06053,1.05662,1.05932,34325,5,5148750000
2023-01-04 10:00:00,1.05933,1.06347,1.05896,1.06152,35303,5,5295450000
2023-01-04 11:00:00,1.06152,1.06294,1.06049,1.06101,34462,5,5169300000
2023-01-04 12:00:00,1.06101,1.06222,1.06077,1.06201,33867,5,5080050000
2023-01-04 13:00:00,1.06199,1.06238,1.06016,1.06038,33618,5,5042700000
2023-01-04 14:00:00,1.06038,1.06106,1.05982,1.06066,34073,5,5110950000
2023-01-04 15:00:00,1.06066,1.06192,1.05944,1.06098,34896,5,5234400000
2023-01-04 16:00:00,1.06099,1.06277,1.06016,1.06233,35116,5,5267400000
2023-01-04 17:00:00,1.06233,1.06242,1.05805,1.06027,35472,5,5320800000
2023-01-04 18:00:00,1.06027,1.06201,1.05921,1.06183,35179,5,5276850000
2023-01-04 19:00:00,1.06185,1.06194,1.06041,1.06067,34224,5,5133600000
2023-01-04 20:00:00,1.06067,1.06125,1.05949,1.05985,35906,5,5385900000
